Name,Method,Dim,N_sample,nList,nprobe,DB Size (GB),Total,Time kNN,Recall@10,Train time,Add time,Move time,Erro
SK-1M-12d,brute,12.0,1000000.0,0.0,0.0,0.048,9.577714443206789,9.577714443206789,-,,,,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,5.0,0.048,5.126583576202393,1.6127116680145264,0.3713362,2.336998701095581,0.5544419288635254,0.6224312782287598,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,10.0,0.048,4.575897455215454,1.40338397026062,0.5685446,1.8668220043182373,0.6038575172424316,0.701833963394165,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,25.0,0.048,7.456691026687622,4.297406911849976,0.8743484,1.9153025150299072,0.5965116024017334,0.6474699974060059,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,50.0,0.048,8.065534591674805,4.993851900100708,0.9818246,1.7454454898834229,0.6145288944244385,0.7117083072662354,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,75.0,0.048,9.035521745681764,5.737398624420166,0.9953904,1.8245878219604488,0.7413091659545898,0.7322261333465576,
SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,100.0,0.048,10.178543090820312,6.978012561798096,0.9974071,1.8001368045806885,0.6467080116271973,0.753685712814331,
SK-1M-12d,brute,12.0,1000000.0,0.0,0.0,0.048,9.576484203338625,9.576484203338625,-,,,,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,5.0,0.048,21.37287330627441,1.4879264831542969,0.35633,18.694340229034424,0.6165246963500977,0.5740818977355957,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,10.0,0.048,21.19767141342163,2.02296781539917,0.5235214,17.94925832748413,0.6441266536712646,0.5813186168670654,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,25.0,0.048,22.875880479812626,3.759378671646118,0.7534805,17.90182399749756,0.6209971904754639,0.5936806201934814,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,50.0,0.048,23.897987365722656,4.594265937805176,0.826482,18.03030681610108,0.663689136505127,0.6097254753112793,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,75.0,0.048,24.565795421600345,5.024728775024414,0.8354144,18.29121923446656,0.6438078880310059,0.6060395240783691,
SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,100.0,0.048,24.7936053276062,5.539744138717651,0.8367314,18.065911293029785,0.63840651512146,0.5495433807373047,
SK-10M-12d,brute,12.0,10000000.0,0.0,0.0,0.48,882.2933576107025,882.2933576107025,-,,,,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,5.0,0.48,57.16779899597168,30.612544298172,0.35903818,16.53031897544861,5.7756547927856445,4.24928092956543,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,10.0,0.48,71.25222253799438,44.37199831008911,0.54558559,16.70458459854126,6.1542723178863525,4.021367311477661,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,25.0,0.48,83.71899080276489,56.77919149398804,0.84676675,16.683872938156128,6.293894052505493,3.9620323181152335,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,50.0,0.48,109.58354997634888,82.4137544631958,0.97096783,15.989402770996094,6.962183237075806,4.218209505081177,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,75.0,0.48,137.5563883781433,109.63759160041808,0.99166376,16.841114282608032,7.0049803256988525,4.072702169418335,
SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,100.0,0.48,163.76172399520874,136.40226459503174,0.99564203,16.188274383544922,7.0550947189331055,4.116090297698975,
SK-10M-12d,brute,12.0,10000000.0,0.0,0.0,0.48,883.0999221801758,883.0999221801758,-,,,,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,5.0,0.48,62.79154372215271,18.895070791244507,0.34361284,34.71745681762695,6.161445140838623,3.017570972442627,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,10.0,0.48,68.85337829589844,25.32653284072876,0.5004571,34.20804262161255,6.386978626251221,2.931824207305908,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,25.0,0.48,85.144371509552,41.22448348999024,0.72176019,34.378323793411255,6.458266496658325,3.0832977294921875,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,50.0,0.48,93.33828210830688,49.37252235412598,0.80200991,34.32900404930115,6.4763123989105225,3.1604433059692383,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,75.0,0.48,100.10442686080933,55.40275812149048,0.81449647,34.588279485702515,6.897180557250977,3.2162086963653564,
SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,100.0,0.48,107.15828919410706,63.11598467826843,0.81683621,34.20887517929077,6.702410936355591,3.1310184001922607,
SK-20M-12d,brute,12.0,20000000.0,0.0,0.0,0.96,3541.2275178432465,3541.2275178432465,-,,,,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,5.0,0.96,119.3358268737793,87.25738763809204,0.359572225,16.669981956481934,9.1517174243927,6.256739854812622,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,10.0,0.96,139.30668139457703,106.65211749076845,0.546790665,16.61331868171692,9.948634147644045,6.092611074447632,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,25.0,0.96,197.2156844139099,164.62246680259705,0.814041095,16.355618715286255,9.918806314468384,6.318792581558228,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,50.0,0.96,305.4601242542267,272.60407519340515,0.902588075,16.248496294021606,10.478748321533203,6.128804445266724,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,75.0,0.96,415.39577746391296,382.589780330658,0.91391183,16.130868673324585,10.55843472480774,6.116693735122681,
SK-20M-12d,ivfflat,12.0,20000000.0,16384.0,100.0,0.96,522.5382964611053,489.0135521888733,0.91565891,16.6655113697052,10.529698133468628,6.329534769058228,
SK-20M-12d,brute,12.0,20000000.0,0.0,0.0,0.96,3541.058187246322,3541.058187246322,-,,,,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,5.0,0.96,88.87933850288391,40.44474625587464,0.340717945,34.55911874771118,9.902065753936768,3.973407745361328,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,10.0,0.96,108.27785301208496,59.780102014541626,0.493350325,34.06614017486572,10.299320936203005,4.132289886474609,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,25.0,0.96,137.62341332435608,88.66948342323303,0.6825432,34.675212383270264,10.21957516670227,4.059142351150513,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,50.0,0.96,155.6494686603546,105.18705129623412,0.737297515,33.9329936504364,11.92319369316101,4.606230020523071,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,75.0,0.96,173.95162343978882,123.64045929908752,0.743851845,34.60979723930359,11.345312356948853,4.3560545444488525,
SK-20M-12d,ivfpq,12.0,20000000.0,16384.0,100.0,0.96,192.7743535041809,143.67498993873596,0.744823595,34.198660135269165,10.960158824920654,3.940544605255127,
SK-30M-12d,brute,12.0,30000000.0,0.0,0.0,1.44,7978.458569526672,7978.458569526672,-,,,,
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,5.0,1.44,182.3825511932373,145.54598879814148,0.32215435666666664,16.65575075149536,12.04012131690979,8.140690326690674,
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,10.0,1.44,220.7605414390564,184.35338258743286,0.4879298066666667,16.110623598098755,12.316916704177856,7.979618549346924,
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,25.0,1.44,367.2178509235382,329.2366738319397,0.70598292,16.191455602645874,13.607699871063232,8.182021617889404,
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,50.0,1.44,614.433737039566,576.4115207195282,0.7686588833333333,16.303207635879517,13.754002809524536,7.965005874633789,
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,75.0,1.44,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 73152 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 10 allocations, 4259840 bytes
Alloc type IVFLists: 78129 allocations, 6866945232 bytes
"
SK-30M-12d,ivfflat,12.0,30000000.0,16384.0,100.0,1.44,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 786432 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 10 allocations, 4259840 bytes
Alloc type IVFLists: 78129 allocations, 6866945232 bytes
"
SK-30M-12d,brute,12.0,30000000.0,0.0,0.0,1.44,7979.211026906967,7979.211026906967,-,,,,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,5.0,1.44,119.3875892162323,66.01681923866272,0.30137776,35.43399000167847,13.33228850364685,4.604491472244263,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,10.0,1.44,146.4897129535675,92.55990266799927,0.43140773,33.907620906829834,14.9630229473114,5.059166431427002,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,25.0,1.44,193.3756754398346,139.50832223892212,0.5781381266666666,35.056625843048096,13.977108716964722,4.833618640899658,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,50.0,1.44,224.7648229598999,170.25378370285034,0.6148603366666666,34.60267782211304,14.989718198776243,4.918643236160278,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,75.0,1.44,259.190495967865,205.6531035900116,0.6185996966666667,34.216301679611206,14.392513513565063,4.928577184677124,
SK-30M-12d,ivfpq,12.0,30000000.0,16384.0,100.0,1.44,300.9658057689667,246.58033227920532,0.6190808633333333,33.95186972618103,15.482784032821655,4.950819730758667,
SK-40M-12d,brute,12.0,40000000.0,0.0,0.0,1.92,19975.72825884819,19975.72825884819,-,,,,
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,5.0,1.92,431.3006348609924,130.9251353740692,0.3297042125,237.0500974655152,47.2320990562439,16.093302965164185,
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,10.0,1.92,503.6828191280365,182.79231429100037,0.49417627,254.3672740459442,49.04112029075623,17.482110500335693,
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,25.0,1.92,544.061797618866,236.547030210495,0.78804042,236.63720846176147,52.6570246219635,18.220534324646,
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,50.0,1.92,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 30048 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 8 allocations, 13631488 bytes
Alloc type IVFLists: 234279 allocations, 6863419776 bytes
"
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,75.0,1.92,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 3145728 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 8 allocations, 13631488 bytes
Alloc type IVFLists: 234279 allocations, 6863419776 bytes
"
SK-40M-12d,ivfflat,12.0,40000000.0,65536.0,100.0,1.92,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 3145728 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 8 allocations, 13631488 bytes
Alloc type IVFLists: 234279 allocations, 6863419776 bytes
"
SK-40M-12d,brute,12.0,40000000.0,0.0,0.0,1.92,19994.52345395088,19994.523453950882,-,,,,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,5.0,1.92,405.44107937812805,81.79891037940979,0.3171839575,262.6295158863068,48.98072552680969,12.031927585601808,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,10.0,1.92,431.4048171043396,105.778817653656,0.45715903,262.5928468704224,50.392242193222046,12.640910387039185,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,25.0,1.92,507.6774322986603,174.79362392425537,0.67521928,261.40843772888184,58.09248113632202,13.38288950920105,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,50.0,1.92,531.9281313419342,203.72608089447021,0.775009905,261.9045464992523,53.21960020065308,13.077903747558594,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,75.0,1.92,561.0002882480621,233.79326367378235,0.79656266,262.1874232292176,51.86131405830383,13.158287286758425,
SK-40M-12d,ivfpq,12.0,40000000.0,65536.0,100.0,1.92,597.1759996414185,267.34227752685547,0.8021429475,261.0641369819641,55.09336733818054,13.676217794418337,
SK-50M-12d,brute,12.0,50000000.0,0.0,0.0,2.4,32889.28993725777,32889.28993725777,-,,,,
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,5.0,2.4,490.4601557254791,179.96404671669006,0.338197818,236.8648104667664,55.26212787628174,18.369170665740967,
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,10.0,2.4,559.6530930995941,237.75864386558533,0.508515294,243.48502945899963,58.68382143974304,19.725598335266117,
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,25.0,2.4,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 27504 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 6 allocations, 10223616 bytes
Alloc type IVFLists: 187721 allocations, 6874783776 bytes
"
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,50.0,2.4,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 3145728 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 6 allocations, 10223616 bytes
Alloc type IVFLists: 187721 allocations, 6874783776 bytes
"
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,75.0,2.4,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 3145728 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 6 allocations, 10223616 bytes
Alloc type IVFLists: 187721 allocations, 6874783776 bytes
"
SK-50M-12d,ivfflat,12.0,50000000.0,65536.0,100.0,2.4,,-,-,,,,"Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 3145728 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 6 allocations, 10223616 bytes
Alloc type IVFLists: 187721 allocations, 6874783776 bytes
"
SK-50M-12d,brute,12.0,50000000.0,0.0,0.0,2.4,32687.993415355682,32687.993415355682,-,,,,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,5.0,2.4,435.6506597995758,103.0337884426117,0.32552072,261.4776885509491,57.94096875190735,13.198214054107666,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,10.0,2.4,483.37326169013977,144.11679434776306,0.471028762,261.12276673316956,64.1642758846283,13.969424724578857,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,25.0,2.4,557.3574814796448,221.234032869339,0.692285924,260.8434910774231,60.27231812477112,15.007639408111572,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,50.0,2.4,597.9019241333008,258.2923889160156,0.788474652,261.1899046897888,64.14514660835266,14.274483919143677,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,75.0,2.4,637.4950261116028,297.97106289863586,0.808012696,260.8200218677521,63.70872902870178,14.995212316513062,
SK-50M-12d,ivfpq,12.0,50000000.0,65536.0,100.0,2.4,680.5251672267914,342.4133689403534,0.812819046,261.33709621429443,61.76344633102417,15.011255741119385,

