Name,Method,Dim,N_sample,nList,nprobe,DB Size (GB),Total,Time kNN,Recall@10,Train time,Add time,Move time
SK-100M-12d,brute,12.0,100000000.0,0.0,0.0,4.8,29.09957909584045,29.09957909584045,-,,,
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,5.0,4.8,619.3520276546478,236.3253915309906,0.27075,261.9313633441925,103.44359278678894,17.65167999267578
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,10.0,4.8,719.393839597702,336.3672034740448,0.43429,261.9313633441925,103.44359278678894,17.65167999267578
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,25.0,4.8,853.6551115512848,470.6284754276276,0.65527,261.9313633441925,103.44359278678894,17.65167999267578
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,50.0,4.8,952.6408925056458,569.6142563819885,0.73373,261.9313633441925,103.44359278678894,17.65167999267578
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,75.0,4.8,1073.2242999076843,690.1976637840271,0.74606,261.9313633441925,103.44359278678894,17.65167999267578
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,100.0,4.8,1197.8024547100067,814.7758185863495,0.74919,261.9313633441925,103.44359278678894,17.65167999267578
SK-150M-12d,brute,12.0,150000000.0,0.0,0.0,7.2,41.78505730628967,41.78505730628967,-,,,
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,5.0,7.2,806.0407452583313,372.8994505405426,0.29249,262.4436979293823,148.8122274875641,21.885369300842285
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,10.0,7.2,987.0105419158936,553.8692471981049,0.45723,262.4436979293823,148.8122274875641,21.885369300842285
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,25.0,7.2,1181.1469585895538,748.0056638717651,0.67116,262.4436979293823,148.8122274875641,21.885369300842285
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,50.0,7.2,1384.28377699852,951.1424822807312,0.73728,262.4436979293823,148.8122274875641,21.885369300842285
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,75.0,7.2,1615.6607356071472,1182.5194408893583,0.74724,262.4436979293823,148.8122274875641,21.885369300842285
SK-150M-12d,ivfpq,12.0,150000000.0,65536.0,100.0,7.2,1853.319147348404,1420.1778526306152,0.74881,262.4436979293823,148.8122274875641,21.885369300842285
SK-200M-12d,brute,12.0,200000000.0,0.0,0.0,9.6,61.57669281959534,61.57669281959534,-,,,
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,5.0,9.6,1004.9856598377228,526.6552300453186,0.3022,261.8866710662842,190.7894337177277,25.65432500839233
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,10.0,9.6,1285.774519443512,807.4440896511078,0.47144,261.8866710662842,190.7894337177277,25.65432500839233
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,25.0,9.6,1520.8267645835876,1042.4963347911837,0.66971,261.8866710662842,190.7894337177277,25.65432500839233
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,50.0,9.6,1869.99905705452,1391.6686272621157,0.72723,261.8866710662842,190.7894337177277,25.65432500839233
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,75.0,9.6,2249.441230535507,1771.110800743103,0.73359,261.8866710662842,190.7894337177277,25.65432500839233
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,100.0,9.6,2643.532799243927,2165.202369451523,0.73465,261.8866710662842,190.7894337177277,25.65432500839233
SK-250M-12d,brute,12.0,250000000.0,0.0,0.0,12.0,71.22280812263489,71.22280812263489,-,,,
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,5.0,12.0,1276.1773707866669,746.7585356235504,0.31776,262.3086695671081,236.2425692081452,30.86759638786316
